Date	Hour	Effectif
13/01/2024	13	0
13/01/2024	14	0
13/01/2024	15	0
13/01/2024	16	0
13/01/2024	17	0
13/01/2024	18	0
13/01/2024	19	8
13/01/2024	20	0
13/01/2024	21	57
13/01/2024	22	2
13/01/2024	23	9
14/01/2024	0	0
14/01/2024	1	0
14/01/2024	2	0
14/01/2024	3	0
14/01/2024	4	0
14/01/2024	5	0
14/01/2024	6	1
14/01/2024	7	0
14/01/2024	8	0
14/01/2024	9	0
14/01/2024	10	0
14/01/2024	11	0
14/01/2024	12	0
14/01/2024	13	0
14/01/2024	14	0
14/01/2024	15	0
14/01/2024	16	0
14/01/2024	17	0
14/01/2024	18	2
14/01/2024	19	0
14/01/2024	20	33
14/01/2024	21	0
14/01/2024	22	0
14/01/2024	23	0
15/01/2024	0	0
15/01/2024	1	0
15/01/2024	2	0
15/01/2024	3	0
15/01/2024	4	0
15/01/2024	5	0
15/01/2024	6	0
15/01/2024	7	0
15/01/2024	8	0
15/01/2024	9	0
15/01/2024	10	0
15/01/2024	11	0
15/01/2024	12	0
15/01/2024	13	0
15/01/2024	14	0
15/01/2024	15	0
15/01/2024	16	0
15/01/2024	17	0
15/01/2024	18	0
15/01/2024	19	0
15/01/2024	20	0
15/01/2024	21	0
15/01/2024	22	0
15/01/2024	23	0
16/01/2024	0	1
16/01/2024	1	0
16/01/2024	2	0
16/01/2024	3	0
16/01/2024	4	0
16/01/2024	5	0
16/01/2024	6	0
16/01/2024	7	0
16/01/2024	8	0
16/01/2024	9	0
16/01/2024	10	0
16/01/2024	11	3
16/01/2024	12	0
16/01/2024	13	0
16/01/2024	14	1
16/01/2024	15	0
16/01/2024	16	6
16/01/2024	17	0
16/01/2024	18	0
16/01/2024	19	5
16/01/2024	20	0
16/01/2024	21	0
16/01/2024	22	0
16/01/2024	23	0
17/01/2024	0	0
17/01/2024	1	0
17/01/2024	2	0
17/01/2024	3	4
17/01/2024	4	2
17/01/2024	5	0
17/01/2024	6	10
17/01/2024	7	0
17/01/2024	8	1
17/01/2024	9	0
17/01/2024	10	0
17/01/2024	11	0
17/01/2024	12	0
17/01/2024	13	0
17/01/2024	14	12
17/01/2024	15	0
17/01/2024	16	0
17/01/2024	17	0
17/01/2024	18	0
17/01/2024	19	0
17/01/2024	20	0
17/01/2024	21	0
17/01/2024	22	0
17/01/2024	23	0
18/01/2024	0	0
18/01/2024	1	0
18/01/2024	2	0
18/01/2024	3	0
18/01/2024	4	0
18/01/2024	5	0
18/01/2024	6	0
18/01/2024	7	30
18/01/2024	8	0
18/01/2024	9	0
18/01/2024	10	0
18/01/2024	11	0
18/01/2024	12	0
18/01/2024	13	0
18/01/2024	14	0
18/01/2024	15	0
18/01/2024	16	6
18/01/2024	17	18
18/01/2024	18	0
18/01/2024	19	0
18/01/2024	20	0
18/01/2024	21	0
18/01/2024	22	0
18/01/2024	23	0
19/01/2024	0	0
19/01/2024	1	0
19/01/2024	2	0
19/01/2024	3	0
19/01/2024	4	0
19/01/2024	5	0
19/01/2024	6	0
19/01/2024	7	0
19/01/2024	8	0
19/01/2024	9	0
19/01/2024	10	0
19/01/2024	11	3
19/01/2024	12	0
19/01/2024	13	0
19/01/2024	14	0
19/01/2024	15	0
19/01/2024	16	0
19/01/2024	17	0
19/01/2024	18	0
19/01/2024	19	0
19/01/2024	20	0
19/01/2024	21	0
19/01/2024	22	0
19/01/2024	23	0
20/01/2024	0	3
20/01/2024	1	0
20/01/2024	2	0
20/01/2024	3	0
20/01/2024	4	0
20/01/2024	5	0
20/01/2024	6	0
20/01/2024	7	0
20/01/2024	8	0
20/01/2024	9	2
20/01/2024	10	0
20/01/2024	11	0
20/01/2024	12	0
20/01/2024	13	0
20/01/2024	14	0
20/01/2024	15	0
20/01/2024	16	0
20/01/2024	17	0
20/01/2024	18	0
20/01/2024	19	9
20/01/2024	20	0
20/01/2024	21	0
20/01/2024	22	0
20/01/2024	23	0
21/01/2024	0	0
21/01/2024	1	0
21/01/2024	2	0
21/01/2024	3	0
21/01/2024	4	0
21/01/2024	5	0
21/01/2024	6	0
21/01/2024	7	0
21/01/2024	8	1
21/01/2024	9	0
21/01/2024	10	0
21/01/2024	11	0
